file_path,file_category,current_role,status,correctness_status,content_freshness,dead_or_misleading_content,action_recommendation,notes
build/goal170_vulkan_orbit_medium_fix/frame_000.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_vulkan_orbit_medium_fix/frame_001.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_vulkan_orbit_medium_fix/frame_001.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_vulkan_orbit_medium_fix/goal170_vulkan_orbit_medium_fix.gif,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_vulkan_orbit_medium_fix/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_000.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_000.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_001.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_001.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_002.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_003.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_004.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_005.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/frame_005.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal172_temporal_blend_preview/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal176_optix_medium/frame_000.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal176_optix_medium/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal176_vulkan_medium/frame_000.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal176_vulkan_medium/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/system_audit/engineering_support_docs_pass.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/system_audit/views/file_status.csv,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,high confusion risk; prior-generation audit artifact can be mistaken for current ledger,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny; older system-audit snapshot; do not confuse with Goal 409 ledger
build/system_audit/views/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,high confusion risk; prior-generation audit artifact can be mistaken for current ledger,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny; older system-audit snapshot; do not confuse with Goal 409 ledger
build/win_embree_earthlike_4k_10s_32fps_yellow_jobs8/frame_180.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/win_embree_earthlike_4k_10s_32fps_yellow_jobs8/frame_180.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/win_embree_earthlike_4k_10s_32fps_yellow_jobs8/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/win_embree_earthlike_4k_10s_32fps_yellow_jobs8/win_embree_earthlike_4k_10s_32fps_yellow_jobs8.mp4,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
docs/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/ai_collaboration_workflow.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/architecture_api_performance_overview.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/archive/README.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/archive/v0_1/README.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/assets/rtdl_visual_demo_thumb.png,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/audit_flow.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/current_milestone_qa.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/development_reliability_process.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/embree_baseline_contracts.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/embree_baseline_plan.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/embree_evaluation_matrix.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/embree_evaluation_plan.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/embree_rayjoin_reproduction_program.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/engineering/handoffs/V0_4_FINAL_RELEASE_HANDOFF_HUB.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/features/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/fixed_radius_neighbors/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/knn_rows/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/lsi/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/overlay/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/pip/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/point_nearest_segment/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/polygon_pair_overlap_area_rows/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/polygon_set_jaccard/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/ray_tri_hitcount/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/segment_polygon_anyhit_rows/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/features/segment_polygon_hitcount/README.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/future_ray_tracing_directions.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/gemini_cli_notes.md,doc,documentation,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,possible stale wording risk; review explicit version claims,"retain; audit wording, examples, and version claims",
docs/goal_100_release_validation_rerun.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_101_hello_world_all_backend_validation.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_102_full_honest_rayjoin_reproduction.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_103_full_honest_rayjoin_reproduction_vulkan.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_104_rayjoin_reproduction_performance_report.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_105_final_release_audit.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_106_repo_wide_review_and_audit.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_107_v0_2_roadmap_planning.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_108_v0_2_workload_scope_charter.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_109_archive_v0_1_baseline.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_10_more_workloads_plan.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_110_v0_2_segment_polygon_hitcount_closure.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_111_v0_2_generate_only_mvp.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_112_segment_polygon_performance_maturation.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_113_generate_only_maturation.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_114_segment_polygon_postgis_large_scale_validation.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_115_segment_polygon_feature_productization.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_116_segment_polygon_full_backend_audit.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_117_v0_2_feature_usage_surface.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_118_segment_polygon_linux_large_perf.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_119_segment_polygon_native_maturity_redesign.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_120_optix_segment_polygon_native_promotion.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_121_segment_polygon_bbox_prefilter.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_122_segment_polygon_candidate_index_redesign.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_123_optix_candidate_index_alignment.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_124_v0_2_review_backfill_and_status.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_125_v0_2_internal_backfill_and_external_review_packet.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_126_second_workload_family_selection.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_127_second_workload_family_anyhit_rows_closure.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_128_second_workload_family_postgis_and_linux_perf.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_129_generate_only_second_workload_expansion.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_130_v0_2_test_plan_and_execution.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_131_v0_2_linux_stress_audit.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_132_v0_2_user_doc_refresh.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_133_current_feature_execution_report.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_134_v0_2_process_audit_so_far.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_135_system_midterm_check.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_136_jaccard_similarity_evaluation.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_137_jaccard_workload_charter.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_138_polygon_pair_overlap_area_rows_closure.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_139_public_pathology_data_acquisition_and_conversion.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_13_rayjoin_paper_embree_plan.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_140_polygon_set_jaccard_closure.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_141_public_jaccard_linux_audit.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_142_jaccard_docs_and_generate_only.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_143_feature_home_documentation.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
docs/goal_144_project_memory_bootstrap.md,doc,documentation,historical,historical record; not a live correctness surface by itself,time-stamped or archived snapshot; freshness acceptable if treated as archival,acceptable if clearly archival; misleading only if surfaced as live,retain as record; do not present as live spec,classified archival from path
